"MouseGeneName","Accession.New.x","Accession.Number.x","P3.x","P4.x","P5.x","Accession.Number.uni.x","ProteinID.x","Accession.New.y","Accession.Number.y","P3.y","P4.y","P5.y","Accession.Number.uni.y","ProteinID.y","HumanGeneName"
"Serpinb1a","ILEUA_MOUSE","ILEUA_MOUSE",2,0,3,"ILEUA_MOUSE","Q9D154","ILEUA_MOUSE","ILEUA_MOUSE",2,0,3,"ILEUA_MOUSE","Q9D154","SERPINB1"
"Serpinh1","SERPH_MOUSE","SERPH_MOUSE",23,14,22,"SERPH_MOUSE","P19324","SERPH_MOUSE","SERPH_MOUSE",23,14,22,"SERPH_MOUSE","P19324","SERPINH1"
"Sfn","1433S_MOUSE","1433S_MOUSE",3,0,3,"1433S_MOUSE","O70456","1433S_MOUSE","1433S_MOUSE",3,0,3,"1433S_MOUSE","O70456","SFN"
"Sgta","SGTA_MOUSE","SGTA_MOUSE",1,0,2,"SGTA_MOUSE","Q8BJU0","SGTA_MOUSE","SGTA_MOUSE",1,0,2,"SGTA_MOUSE","Q8BJU0","SGTA"
"Slc25a3","MPCP_MOUSE","MPCP_MOUSE",2,1,4,"MPCP_MOUSE","Q8VEM8","MPCP_MOUSE","MPCP_MOUSE",2,1,4,"MPCP_MOUSE","Q8VEM8","SLC25A3"
"Slc25a4","ADT1_MOUSE","ADT1_MOUSE",2,1,4,"ADT1_MOUSE","P48962","ADT1_MOUSE","ADT1_MOUSE",2,1,4,"ADT1_MOUSE","P48962","SLC25A4"
"Slc25a5","ADT2_MOUSE","ADT2_MOUSE",2,0,3,"ADT2_MOUSE","P51881","ADT2_MOUSE","ADT2_MOUSE",2,0,3,"ADT2_MOUSE","P51881","SLC25A5"
"Slc2a1","GTR1_MOUSE","GTR1_MOUSE",4,2,5,"GTR1_MOUSE","P17809","GTR1_MOUSE","GTR1_MOUSE",4,2,5,"GTR1_MOUSE","P17809","SLC2A1"
"Slc3a2","4F2_MOUSE","4F2_MOUSE",3,3,4,"4F2_MOUSE","P10852","4F2_MOUSE","4F2_MOUSE",3,3,4,"4F2_MOUSE","P10852","SLC3A2"
"Slc4a1","B3AT_MOUSE","B3AT_MOUSE",9,6,0,"B3AT_MOUSE","P04919","B3AT_MOUSE","B3AT_MOUSE",9,6,0,"B3AT_MOUSE","P04919","SLC4A1"
"Snd1","SND1_MOUSE","SND1_MOUSE",6,4,17,"SND1_MOUSE","Q78PY7","SND1_MOUSE","SND1_MOUSE",6,4,17,"SND1_MOUSE","Q78PY7","SND1"
"Sod1","SODC_MOUSE","SODC_MOUSE",1,0,4,"SODC_MOUSE","P08228","SODC_MOUSE","SODC_MOUSE",1,0,4,"SODC_MOUSE","P08228","SOD1"
"Spcs1","SPCS1_MOUSE","SPCS1_MOUSE",1,0,2,"SPCS1_MOUSE","Q9D958","SPCS1_MOUSE","SPCS1_MOUSE",1,0,2,"SPCS1_MOUSE","Q9D958","SPCS1"
"Sri","SORCN_MOUSE","SORCN_MOUSE",5,3,5,"SORCN_MOUSE","Q6P069","SORCN_MOUSE","SORCN_MOUSE",5,3,5,"SORCN_MOUSE","Q6P069","SRI"
"Srm","SPEE_MOUSE","SPEE_MOUSE",1,0,4,"SPEE_MOUSE","Q64674","SPEE_MOUSE","SPEE_MOUSE",1,0,4,"SPEE_MOUSE","Q64674","SRM"
"Srp68","SRP68_MOUSE","SRP68_MOUSE",2,1,0,"SRP68_MOUSE","Q8BMA6","SRP68_MOUSE","SRP68_MOUSE",2,1,0,"SRP68_MOUSE","Q8BMA6","SRP68"
"Srprb","SRPRB_MOUSE","SRPRB_MOUSE",2,2,4,"SRPRB_MOUSE","P47758","SRPRB_MOUSE","SRPRB_MOUSE",2,2,4,"SRPRB_MOUSE","P47758","SRPRB"
"Ssr1","SSRA_MOUSE","SSRA_MOUSE",2,0,3,"SSRA_MOUSE","Q9CY50","SSRA_MOUSE","SSRA_MOUSE",2,0,3,"SSRA_MOUSE","Q9CY50","SSR1"
"Ssr3","SSRG_MOUSE","SSRG_MOUSE",1,0,1,"SSRG_MOUSE","Q9DCF9","SSRG_MOUSE","SSRG_MOUSE",1,0,1,"SSRG_MOUSE","Q9DCF9","SSR3"
"Ssr4","SSRD_MOUSE","SSRD_MOUSE",2,1,3,"SSRD_MOUSE","Q62186","SSRD_MOUSE","SSRD_MOUSE",2,1,3,"SSRD_MOUSE","Q62186","SSR4"
"St13","F10A1_MOUSE","F10A1_MOUSE",4,1,5,"F10A1_MOUSE","Q99L47","F10A1_MOUSE","F10A1_MOUSE",4,1,5,"F10A1_MOUSE","Q99L47","ST13"
"Stip1","STIP1_MOUSE","STIP1_MOUSE",9,2,13,"STIP1_MOUSE","Q60864","STIP1_MOUSE","STIP1_MOUSE",9,2,13,"STIP1_MOUSE","Q60864","STIP1"
"Stk24","STK24_MOUSE","STK24_MOUSE",1,0,1,"STK24_MOUSE","Q99KH8","STK24_MOUSE","STK24_MOUSE",1,0,1,"STK24_MOUSE","Q99KH8","STK24"
"Stt3a","STT3A_MOUSE","STT3A_MOUSE",2,0,4,"STT3A_MOUSE","P46978","STT3A_MOUSE","STT3A_MOUSE",2,0,4,"STT3A_MOUSE","P46978","STT3A"
"Sugt1","SGT1_MOUSE","SGT1_MOUSE",1,0,1,"SGT1_MOUSE","Q9CX34","SGT1_MOUSE","SGT1_MOUSE",1,0,1,"SGT1_MOUSE","Q9CX34","SUGT1"
"Surf4","SURF4_MOUSE","SURF4_MOUSE",3,1,3,"SURF4_MOUSE","Q64310","SURF4_MOUSE","SURF4_MOUSE",3,1,3,"SURF4_MOUSE","Q64310","SURF4"
"Tagln2","TAGL2_MOUSE","TAGL2_MOUSE",9,3,10,"TAGL2_MOUSE","Q9WVA4","TAGL2_MOUSE","TAGL2_MOUSE",9,3,10,"TAGL2_MOUSE","Q9WVA4","TAGLN2"
"Tbc1d15","TBC15_MOUSE","TBC15_MOUSE",2,2,1,"TBC15_MOUSE","Q9CXF4","TBC15_MOUSE","TBC15_MOUSE",2,2,1,"TBC15_MOUSE","Q9CXF4","TBC1D15"
"Tcp1","TCPA_MOUSE","TCPA_MOUSE",15,15,18,"TCPA_MOUSE","P11983","TCPA_MOUSE","TCPA_MOUSE",15,15,18,"TCPA_MOUSE","P11983","TCP1"
"Tgm2","TGM2_MOUSE","TGM2_MOUSE",18,14,20,"TGM2_MOUSE","P21981","TGM2_MOUSE","TGM2_MOUSE",18,14,20,"TGM2_MOUSE","P21981","TGM2"
"Tkfc","TKFC_MOUSE","TKFC_MOUSE",2,0,1,"TKFC_MOUSE","Q8VC30","TKFC_MOUSE","TKFC_MOUSE",2,0,1,"TKFC_MOUSE","Q8VC30","TKFC"
"Tkt","TKT_MOUSE","TKT_MOUSE",4,3,6,"TKT_MOUSE","P40142","TKT_MOUSE","TKT_MOUSE",4,3,6,"TKT_MOUSE","P40142","TKT"
"Tln1","TLN1_MOUSE","TLN1_MOUSE",48,59,68,"TLN1_MOUSE","P26039","TLN1_MOUSE","TLN1_MOUSE",48,59,68,"TLN1_MOUSE","P26039","TLN1"
"Tmed10","TMEDA_MOUSE","TMEDA_MOUSE",4,0,4,"TMEDA_MOUSE","Q9D1D4","TMEDA_MOUSE","TMEDA_MOUSE",4,0,4,"TMEDA_MOUSE","Q9D1D4","TMED10"
"Tmed2","TMED2_MOUSE","TMED2_MOUSE",3,0,4,"TMED2_MOUSE","Q9R0Q3","TMED2_MOUSE","TMED2_MOUSE",3,0,4,"TMED2_MOUSE","Q9R0Q3","TMED2"
"Tmed9","TMED9_MOUSE","TMED9_MOUSE",4,0,6,"TMED9_MOUSE","Q99KF1","TMED9_MOUSE","TMED9_MOUSE",4,0,6,"TMED9_MOUSE","Q99KF1","TMED9"
"Tmsb10","TYB10_MOUSE","TYB10_MOUSE",1,2,1,"TYB10_MOUSE","Q6ZWY8","TYB10_MOUSE","TYB10_MOUSE",1,2,1,"TYB10_MOUSE","Q6ZWY8","TMSB10"
"Tnfrsf9","TNR9_MOUSE","TNR9_MOUSE",2,0,2,"TNR9_MOUSE","P20334","TNR9_MOUSE","TNR9_MOUSE",2,0,2,"TNR9_MOUSE","P20334","TNFRSF9"
"Tnpo1","TNPO1_MOUSE","TNPO1_MOUSE",0,1,3,"TNPO1_MOUSE","Q8BFY9","TNPO1_MOUSE","TNPO1_MOUSE",0,1,3,"TNPO1_MOUSE","Q8BFY9","TNPO1"
"Tpi1","TPIS_MOUSE","TPIS_MOUSE",6,2,12,"TPIS_MOUSE","P17751","TPIS_MOUSE","TPIS_MOUSE",6,2,12,"TPIS_MOUSE","P17751","TPI1"
"Tpm4","TPM4_MOUSE","TPM4_MOUSE",2,1,5,"TPM4_MOUSE","Q6IRU2","TPM4_MOUSE","TPM4_MOUSE",2,1,5,"TPM4_MOUSE","Q6IRU2","TPM4"
"Tpp2","TPP2_MOUSE","TPP2_MOUSE",5,3,17,"TPP2_MOUSE","Q64514","TPP2_MOUSE","TPP2_MOUSE",5,3,17,"TPP2_MOUSE","Q64514","TPP2"
"Tpt1","TCTP_MOUSE","TCTP_MOUSE",4,0,4,"TCTP_MOUSE","P63028","TCTP_MOUSE","TCTP_MOUSE",4,0,4,"TCTP_MOUSE","P63028","TPT1"
"Tuba1a","TBA1A_MOUSE","TBA1A_MOUSE",16,16,19,"TBA1A_MOUSE","P68369","TBA1A_MOUSE","TBA1A_MOUSE",16,16,19,"TBA1A_MOUSE","P68369","TUBA1A"
"Tuba1b","TBA1B_MOUSE","TBA1B_MOUSE",16,17,19,"TBA1B_MOUSE","P05213","TBA1B_MOUSE","TBA1B_MOUSE",16,17,19,"TBA1B_MOUSE","P05213","TUBA1B"
"Tuba1c","TBA1C_MOUSE","TBA1C_MOUSE",15,15,19,"TBA1C_MOUSE","P68373","TBA1C_MOUSE","TBA1C_MOUSE",15,15,19,"TBA1C_MOUSE","P68373","TUBA1C"
"Tubb4b","TBB4B_MOUSE","TBB4B_MOUSE",21,0,25,"TBB4B_MOUSE","P68372","TBB4B_MOUSE","TBB4B_MOUSE",21,0,25,"TBB4B_MOUSE","P68372","TUBB4B"
"Tubb5","TBB5_MOUSE","TBB5_MOUSE",23,20,25,"TBB5_MOUSE","P99024","TBB5_MOUSE","TBB5_MOUSE",23,20,25,"TBB5_MOUSE","P99024","TUBB"
"Txndc5","TXND5_MOUSE","TXND5_MOUSE",9,0,12,"TXND5_MOUSE","Q91W90","TXND5_MOUSE","TXND5_MOUSE",9,0,12,"TXND5_MOUSE","Q91W90","TXNDC5"
"Txnl1","TXNL1_MOUSE","TXNL1_MOUSE",7,0,10,"TXNL1_MOUSE","Q8CDN6","TXNL1_MOUSE","TXNL1_MOUSE",7,0,10,"TXNL1_MOUSE","Q8CDN6","TXNL1"
"Uba1","UBA1_MOUSE","UBA1_MOUSE",13,15,20,"UBA1_MOUSE","Q02053","UBA1_MOUSE","UBA1_MOUSE",13,15,20,"UBA1_MOUSE","Q02053","UBA1"
"Uba5","UBA5_MOUSE","UBA5_MOUSE",3,4,4,"UBA5_MOUSE","Q8VE47","UBA5_MOUSE","UBA5_MOUSE",3,4,4,"UBA5_MOUSE","Q8VE47","UBA5"
"Uba6","UBA6_MOUSE","UBA6_MOUSE",4,0,10,"UBA6_MOUSE","Q8C7R4","UBA6_MOUSE","UBA6_MOUSE",4,0,10,"UBA6_MOUSE","Q8C7R4","UBA6"
"Ube2k","UBE2K_MOUSE","UBE2K_MOUSE",3,0,4,"UBE2K_MOUSE","P61087","UBE2K_MOUSE","UBE2K_MOUSE",3,0,4,"UBE2K_MOUSE","P61087","UBE2K"
"Ube2l3","UB2L3_MOUSE","UB2L3_MOUSE",3,0,3,"UB2L3_MOUSE","P68037","UB2L3_MOUSE","UB2L3_MOUSE",3,0,3,"UB2L3_MOUSE","P68037","UBE2L3"
"Ube2n","UBE2N_MOUSE","UBE2N_MOUSE",2,0,4,"UBE2N_MOUSE","P61089","UBE2N_MOUSE","UBE2N_MOUSE",2,0,4,"UBE2N_MOUSE","P61089","UBE2N"
"Ube2o","UBE2O_MOUSE","UBE2O_MOUSE",11,10,23,"UBE2O_MOUSE","Q6ZPJ3","UBE2O_MOUSE","UBE2O_MOUSE",11,10,23,"UBE2O_MOUSE","Q6ZPJ3","UBE2O"
"Ubfd1","UBFD1_MOUSE","UBFD1_MOUSE",2,0,1,"UBFD1_MOUSE","Q78JW9","UBFD1_MOUSE","UBFD1_MOUSE",2,0,1,"UBFD1_MOUSE","Q78JW9","UBFD1"
"Ubqln1","UBQL1_MOUSE","UBQL1_MOUSE",1,0,1,"UBQL1_MOUSE","Q8R317","UBQL1_MOUSE","UBQL1_MOUSE",1,0,1,"UBQL1_MOUSE","Q8R317","UBQLN1"
"Ubr4","UBR4_MOUSE","UBR4_MOUSE",5,2,5,"UBR4_MOUSE","A2AN08","UBR4_MOUSE","UBR4_MOUSE",5,2,5,"UBR4_MOUSE","A2AN08","UBR4"
"Ubxn1","UBXN1_MOUSE","UBXN1_MOUSE",3,1,0,"UBXN1_MOUSE","Q922Y1","UBXN1_MOUSE","UBXN1_MOUSE",3,1,0,"UBXN1_MOUSE","Q922Y1","UBXN1"
"Uchl3","UCHL3_MOUSE","UCHL3_MOUSE",1,0,1,"UCHL3_MOUSE","Q9JKB1","UCHL3_MOUSE","UCHL3_MOUSE",1,0,1,"UCHL3_MOUSE","Q9JKB1","UCHL3"
"Uchl4","UCHL4_MOUSE","UCHL4_MOUSE",1,0,1,"UCHL4_MOUSE","P58321","UCHL4_MOUSE","UCHL4_MOUSE",1,0,1,"UCHL4_MOUSE","P58321","UCHL3"
"Ufm1","UFM1_MOUSE","UFM1_MOUSE",1,0,3,"UFM1_MOUSE","P61961","UFM1_MOUSE","UFM1_MOUSE",1,0,3,"UFM1_MOUSE","P61961","UFM1"
"Ugdh","UGDH_MOUSE","UGDH_MOUSE",1,0,5,"UGDH_MOUSE","O70475","UGDH_MOUSE","UGDH_MOUSE",1,0,5,"UGDH_MOUSE","O70475","UGDH"
"Uggt1","UGGG1_MOUSE","UGGG1_MOUSE",38,27,31,"UGGG1_MOUSE","Q6P5E4","UGGG1_MOUSE","UGGG1_MOUSE",38,27,31,"UGGG1_MOUSE","Q6P5E4","UGGT1"
"Ugp2","UGPA_MOUSE","UGPA_MOUSE",12,8,10,"UGPA_MOUSE","Q91ZJ5","UGPA_MOUSE","UGPA_MOUSE",12,8,10,"UGPA_MOUSE","Q91ZJ5","UGP2"
"Upp1","UPP1_MOUSE","UPP1_MOUSE",3,0,7,"UPP1_MOUSE","P52624","UPP1_MOUSE","UPP1_MOUSE",3,0,7,"UPP1_MOUSE","P52624","UPP1"
"Uso1","USO1_MOUSE","USO1_MOUSE",16,9,12,"USO1_MOUSE","Q9Z1Z0","USO1_MOUSE","USO1_MOUSE",16,9,12,"USO1_MOUSE","Q9Z1Z0","USO1"
"Usp14","UBP14_MOUSE","UBP14_MOUSE",1,0,5,"UBP14_MOUSE","Q9JMA1","UBP14_MOUSE","UBP14_MOUSE",1,0,5,"UBP14_MOUSE","Q9JMA1","USP14"
"Usp5","UBP5_MOUSE","UBP5_MOUSE",2,7,8,"UBP5_MOUSE","P56399","UBP5_MOUSE","UBP5_MOUSE",2,7,8,"UBP5_MOUSE","P56399","USP5"
"Usp9x","USP9X_MOUSE","USP9X_MOUSE",10,4,27,"USP9X_MOUSE","P70398","USP9X_MOUSE","USP9X_MOUSE",10,4,27,"USP9X_MOUSE","P70398","USP9X"
"Vapa","VAPA_MOUSE","VAPA_MOUSE",4,0,6,"VAPA_MOUSE","Q9WV55","VAPA_MOUSE","VAPA_MOUSE",4,0,6,"VAPA_MOUSE","Q9WV55","VAPA"
"Vat1","VAT1_MOUSE","VAT1_MOUSE",2,0,2,"VAT1_MOUSE","Q62465","VAT1_MOUSE","VAT1_MOUSE",2,0,2,"VAT1_MOUSE","Q62465","VAT1"
"Vcl","VINC_MOUSE","VINC_MOUSE",11,8,19,"VINC_MOUSE","Q64727","VINC_MOUSE","VINC_MOUSE",11,8,19,"VINC_MOUSE","Q64727","VCL"
"Vcp","TERA_MOUSE","TERA_MOUSE",32,40,42,"TERA_MOUSE","Q01853","TERA_MOUSE","TERA_MOUSE",32,40,42,"TERA_MOUSE","Q01853","VCP"
"Vdac1","VDAC1_MOUSE","VDAC1_MOUSE",2,0,9,"VDAC1_MOUSE","Q60932","VDAC1_MOUSE","VDAC1_MOUSE",2,0,9,"VDAC1_MOUSE","Q60932","VDAC1"
"Vdac2","VDAC2_MOUSE","VDAC2_MOUSE",2,0,3,"VDAC2_MOUSE","Q60930","VDAC2_MOUSE","VDAC2_MOUSE",2,0,3,"VDAC2_MOUSE","Q60930","VDAC2"
"Vps35","VPS35_MOUSE","VPS35_MOUSE",0,1,2,"VPS35_MOUSE","Q9EQH3","VPS35_MOUSE","VPS35_MOUSE",0,1,2,"VPS35_MOUSE","Q9EQH3","VPS35"
"Vta1","VTA1_MOUSE","VTA1_MOUSE",2,0,1,"VTA1_MOUSE","Q9CR26","VTA1_MOUSE","VTA1_MOUSE",2,0,1,"VTA1_MOUSE","Q9CR26","VTA1"
"Wdr1","WDR1_MOUSE","WDR1_MOUSE",10,4,19,"WDR1_MOUSE","O88342","WDR1_MOUSE","WDR1_MOUSE",10,4,19,"WDR1_MOUSE","O88342","WDR1"
"Wnk1","WNK1_MOUSE","WNK1_MOUSE",1,1,1,"WNK1_MOUSE","P83741","WNK1_MOUSE","WNK1_MOUSE",1,1,1,"WNK1_MOUSE","P83741","WNK1"
"Wnk3","WNK3_MOUSE","WNK3_MOUSE",0,1,1,"WNK3_MOUSE","Q80XP9","WNK3_MOUSE","WNK3_MOUSE",0,1,1,"WNK3_MOUSE","Q80XP9","WNK3"
"Xdh","XDH_MOUSE","XDH_MOUSE",1,1,3,"XDH_MOUSE","Q00519","XDH_MOUSE","XDH_MOUSE",1,1,3,"XDH_MOUSE","Q00519","XDH"
"Xpnpep1","XPP1_MOUSE","XPP1_MOUSE",1,0,5,"XPP1_MOUSE","Q6P1B1","XPP1_MOUSE","XPP1_MOUSE",1,0,5,"XPP1_MOUSE","Q6P1B1","XPNPEP1"
"Xpo1","XPO1_MOUSE","XPO1_MOUSE",1,2,11,"XPO1_MOUSE","Q6P5F9","XPO1_MOUSE","XPO1_MOUSE",1,2,11,"XPO1_MOUSE","Q6P5F9","XPO1"
"Ywhab","1433B_MOUSE","1433B_MOUSE",10,4,8,"1433B_MOUSE","Q9CQV8","1433B_MOUSE","1433B_MOUSE",10,4,8,"1433B_MOUSE","Q9CQV8","YWHAB"
"Ywhae","1433E_MOUSE","1433E_MOUSE",9,7,10,"1433E_MOUSE","P62259","1433E_MOUSE","1433E_MOUSE",9,7,10,"1433E_MOUSE","P62259","YWHAE"
"Ywhag","1433G_MOUSE","1433G_MOUSE",8,6,6,"1433G_MOUSE","P61982","1433G_MOUSE","1433G_MOUSE",8,6,6,"1433G_MOUSE","P61982","YWHAG"
"Ywhah","1433F_MOUSE","1433F_MOUSE",3,0,5,"1433F_MOUSE","P68510","1433F_MOUSE","1433F_MOUSE",3,0,5,"1433F_MOUSE","P68510","YWHAH"
"Ywhaq","1433T_MOUSE","1433T_MOUSE",8,5,10,"1433T_MOUSE","P68254","1433T_MOUSE","1433T_MOUSE",8,5,10,"1433T_MOUSE","P68254","YWHAQ"
"Ywhaz","1433Z_MOUSE","1433Z_MOUSE",10,11,9,"1433Z_MOUSE","P63101","1433Z_MOUSE","1433Z_MOUSE",10,11,9,"1433Z_MOUSE","P63101","YWHAZ"
"Zwint","ZWINT_MOUSE","ZWINT_MOUSE",2,0,2,"ZWINT_MOUSE","Q9CQU5","ZWINT_MOUSE","ZWINT_MOUSE",2,0,2,"ZWINT_MOUSE","Q9CQU5","ZWINT"
