"Accession.Number","S3","S4","S5","P3","P4","P5","ProteinID","Accession.New","MouseGeneName"
"EIF3A_MOUSE",0,0,0,7,3,10,"P23116","EIF3A_MOUSE","Eif3a"
"EIF3B_MOUSE",0,0,0,5,4,16,"Q8JZQ9","EIF3B_MOUSE","Eif3b"
"EIF3C_MOUSE",0,0,0,4,5,7,"Q8R1B4","EIF3C_MOUSE","Eif3c"
"EIF3D_MOUSE",0,0,0,2,1,4,"O70194","EIF3D_MOUSE","Eif3d"
"EIF3E_MOUSE",0,0,0,9,3,9,"P60229","EIF3E_MOUSE","Eif3e"
"EIF3F_MOUSE",0,0,0,4,0,6,"Q9DCH4","EIF3F_MOUSE","Eif3f"
"EIF3G_MOUSE",1,0,0,1,0,4,"Q9Z1D1","EIF3G_MOUSE","Eif3g"
"EIF3K_MOUSE",0,0,0,2,0,4,"Q9DBZ5","EIF3K_MOUSE","Eif3k"
"EIF3L_MOUSE",0,0,0,4,2,11,"Q8QZY1","EIF3L_MOUSE","Eif3l"
"EIF3M_MOUSE",0,0,0,3,2,9,"Q99JX4","EIF3M_MOUSE","Eif3m"
"ELOC_MOUSE",0,0,0,1,0,2,"P83940","ELOC_MOUSE","Eloc"
"ELP1_MOUSE",0,0,0,2,2,5,"Q7TT37","ELP1_MOUSE","Elp1"
"ELP2_MOUSE",0,0,0,1,0,2,"Q91WG4","ELP2_MOUSE","Elp2"
"ELP3_MOUSE",0,0,0,2,1,4,"Q9CZX0","ELP3_MOUSE","Elp3"
"ENOA_MOUSE",1,0,0,12,6,15,"P17182","ENOA_MOUSE","Eno1"
"ENPL_MOUSE",4,0,2,46,52,41,"P08113","ENPL_MOUSE","Hsp90b1"
"ERF1_MOUSE",0,0,0,1,0,4,"Q8BWY3","ERF1_MOUSE","Etf1"
"ERF3A_MOUSE",0,0,0,1,1,0,"Q8R050","ERF3A_MOUSE","Gspt1"
"ERO1A_MOUSE",0,0,0,18,5,20,"Q8R180","ERO1A_MOUSE","Ero1a"
"ERP29_MOUSE",0,0,0,12,1,9,"P57759","ERP29_MOUSE","Erp29"
"ERP44_MOUSE",0,0,0,14,3,13,"Q9D1Q6","ERP44_MOUSE","Erp44"
"ES8L2_MOUSE",0,0,0,4,0,2,"Q99K30","ES8L2_MOUSE","Eps8l2"
"ESTD_MOUSE",0,0,0,2,0,5,"Q9R0P3","ESTD_MOUSE","Esd"
"EZRI_MOUSE",0,0,0,11,5,12,"P26040","EZRI_MOUSE","Ezr"
"F10A1_MOUSE",0,0,0,4,1,5,"Q99L47","F10A1_MOUSE","St13"
"FA49B_MOUSE",0,0,0,1,0,1,"Q921M7","FA49B_MOUSE","Fam49b"
"FABP5_MOUSE",0,3,0,5,0,6,"Q05816","FABP5_MOUSE","Fabp5"
"FAS_MOUSE",0,0,0,3,1,22,"P19096","FAS_MOUSE","Fasn"
"FBLN7_MOUSE",0,0,0,4,4,0,"Q501P1","FBLN7_MOUSE","Fbln7"
"FBN1_MOUSE",0,0,0,2,6,36,"Q61554","FBN1_MOUSE","Fbn1"
"FBXW8_MOUSE",0,0,0,1,0,1,"Q8BIA4","FBXW8_MOUSE","Fbxw8"
"FERM2_MOUSE",0,0,0,10,6,14,"Q8CIB5","FERM2_MOUSE","Fermt2"
"FILA2_MOUSE",0,0,0,2,1,0,"Q2VIS4","FILA2_MOUSE","Flg2"
"FKB1A_MOUSE",0,1,1,1,0,0,"P26883","FKB1A_MOUSE","Fkbp1a"
"FKBP2_MOUSE",0,2,0,4,0,3,"P45878","FKBP2_MOUSE","Fkbp2"
"FKBP4_MOUSE",0,0,0,1,0,5,"P30416","FKBP4_MOUSE","Fkbp4"
"FLNA_MOUSE",0,0,0,5,0,8,"Q8BTM8","FLNA_MOUSE","Flna"
"FLNB_MOUSE",2,0,0,15,9,48,"Q80X90","FLNB_MOUSE","Flnb"
"FNTA_MOUSE",0,0,0,2,0,2,"Q61239","FNTA_MOUSE","Fnta"
"FOXO4_MOUSE",0,0,0,7,0,8,"Q9WVH3","FOXO4_MOUSE","Foxo4"
"FRIH_MOUSE",0,0,0,2,0,4,"P09528","FRIH_MOUSE","Fth1"
"FRIL1_MOUSE",0,0,0,4,0,7,"P29391","FRIL1_MOUSE","Ftl1"
"FSCN1_MOUSE",0,0,0,8,3,13,"Q61553","FSCN1_MOUSE","Fscn1"
"G3P_MOUSE",0,0,0,16,11,21,"P16858","G3P_MOUSE","Gapdh"
"G6PI_MOUSE",0,0,0,9,0,19,"P06745","G6PI_MOUSE","Gpi"
"GALE_MOUSE",0,0,0,3,0,10,"Q8R059","GALE_MOUSE","Gale"
"GALK1_MOUSE",0,0,0,4,1,10,"Q9R0N0","GALK1_MOUSE","Galk1"
"GANAB_MOUSE",0,0,0,22,13,28,"Q8BHN3","GANAB_MOUSE","Ganab"
"GARS_MOUSE",0,0,0,1,4,6,"Q9CZD3","GARS_MOUSE","Gars1"
"GBB1_MOUSE",0,0,0,6,0,7,"P62874","GBB1_MOUSE","Gnb1"
"GBB2_MOUSE",0,0,0,4,0,5,"P62880","GBB2_MOUSE","Gnb2"
"GBB4_MOUSE",0,0,0,5,0,7,"P29387","GBB4_MOUSE","Gnb4"
"GDIA_MOUSE",0,0,0,4,0,8,"P50396","GDIA_MOUSE","Gdi1"
"GDIB_MOUSE",0,0,0,10,6,21,"Q61598","GDIB_MOUSE","Gdi2"
"GDIR1_MOUSE",0,1,0,9,5,9,"Q99PT1","GDIR1_MOUSE","Arhgdia"
"GELS_MOUSE",0,0,0,21,19,26,"P13020","GELS_MOUSE","Gsn"
"GFPT1_MOUSE",0,0,0,22,24,25,"P47856","GFPT1_MOUSE","Gfpt1"
"GIT2_MOUSE",0,0,0,1,2,3,"Q9JLQ2","GIT2_MOUSE","Git2"
"GLCNE_MOUSE",0,0,0,9,9,12,"Q91WG8","GLCNE_MOUSE","Gne"
"GLRX3_MOUSE",0,0,0,3,0,7,"Q9CQM9","GLRX3_MOUSE","Glrx3"
"GLU2B_MOUSE",0,0,0,7,8,9,"O08795","GLU2B_MOUSE","Prkcsh"
"GLUC_MOUSE",1,1,0,0,0,0,"P55095","GLUC_MOUSE","Gcg"
"GMPPA_MOUSE",0,0,0,2,0,3,"Q922H4","GMPPA_MOUSE","Gmppa"
"GMPPB_MOUSE",0,0,0,8,5,11,"Q8BTZ7","GMPPB_MOUSE","Gmppb"
"GNAI2_MOUSE",0,0,0,3,3,9,"P08752","GNAI2_MOUSE","Gnai2"
"GNAI3_MOUSE",0,0,0,5,2,6,"Q9DC51","GNAI3_MOUSE","Gnai3"
"GNAS1_MOUSE",0,0,0,3,1,0,"Q6R0H7","GNAS1_MOUSE","Gnas"
